"ms1","p","temp","alt","ms2","gX","gY","gZ","X","Y","Z","mX","mY","mZ"
550,912.29,21,876.66,563,0,-3,-38,13243,10114,-3296,-542,-2096,-3296
610,912.32,21.1,876.39,618,-6,9,-20,12009,9278,-3951,-542,-2096,-3951
661,912.29,21.1,876.66,669,-3,-2,-22,12706,10292,-3328,-542,-2096,-3328
712,912.33,21.1,876.3,720,1,12,-13,12797,9913,-3852,-462,-2166,-3852
763,912.34,21.1,876.21,772,0,4,-2,13195,9558,-3666,-462,-2166,-3666
815,912.36,21.1,876.03,823,6,0,11,13691,10061,-3538,-462,-2166,-3538
870,912.31,21.1,876.48,876,20,-10,-25,12353,9125,-4094,-457,-2184,-4094
919,912.31,21.1,876.48,927,18,-25,-21,12557,10698,-3607,-457,-2184,-3607
970,912.31,21.1,876.48,978,27,3,14,12540,10472,-3296,-457,-2184,-3296
1021,912.33,21.1,876.3,1030,-3,8,-8,12446,10226,-3208,-449,-2141,-3208
1073,912.35,21.1,876.12,1081,15,8,-3,12239,10264,-2734,-449,-2141,-2734
1128,912.4,21.1,875.67,1136,1,5,1,12605,10527,-2992,-449,-2141,-2992
1179,912.34,21.1,876.21,1187,2,3,0,13072,10386,-2561,-454,-2164,-2561
1230,912.35,21.1,876.12,1236,6,4,11,12415,10420,-2898,-454,-2164,-2898
1282,912.32,21.1,876.39,1288,8,-2,0,12985,10390,-2402,-454,-2164,-2402
1333,912.31,21.1,876.48,1339,0,0,-3,12404,10193,-2728,-454,-2164,-2728
1386,912.35,21.2,876.12,1394,0,-1,-10,12429,9726,-2551,-489,-2166,-2551
1437,912.35,21.2,876.12,1445,-1,3,3,12505,10716,-2593,-489,-2166,-2593
1488,912.36,21.2,876.03,1497,0,-2,-16,12553,10108,-2764,-489,-2166,-2764
1540,912.34,21.2,876.21,1548,-2,-3,-15,12107,10436,-2620,-421,-2156,-2620
1591,912.36,21.2,876.03,1599,0,0,-5,12618,10229,-2558,-421,-2156,-2558
1646,912.32,21.2,876.39,1652,-5,-3,-18,12132,11105,-3164,-421,-2156,-3164
1697,912.35,21.2,876.12,1703,3,-6,-15,12195,10262,-2527,-335,-2174,-2527
1748,912.35,21.2,876.12,1755,0,-7,-23,11734,11299,-2755,-335,-2174,-2755
1800,912.37,21.2,875.94,1806,3,-5,11,11974,11628,-2792,-335,-2174,-2792
1851,912.31,21.2,876.48,1857,0,-2,-1,11825,11422,-2724,-272,-2163,-2724
1904,912.35,21.2,876.12,1912,2,0,-7,11850,10803,-2734,-272,-2163,-2734
1955,912.35,21.2,876.12,1964,-4,-8,-32,11662,11412,-2724,-272,-2163,-2724
2007,912.3,21.2,876.57,2015,-9,-2,-18,11068,11499,-2948,-149,-2179,-2948
2058,912.36,21.2,876.03,2066,-7,8,5,11413,10554,-3229,-149,-2179,-3229
2109,912.38,21.2,875.85,2117,-5,6,24,12139,11908,-2617,-149,-2179,-2617
2164,912.39,21.2,875.76,2170,-2,-10,24,13013,12116,-2875,-237,-2176,-2875
2215,912.33,21.2,876.3,2224,-16,5,31,12153,10651,-2584,-237,-2176,-2584
2267,912.37,21.2,875.94,2275,-19,-5,17,12170,11317,-2772,-237,-2176,-2772
2318,912.38,21.2,875.85,2326,-27,-5,-13,10986,10839,-4742,-310,-2177,-4742
